num_clients,app_servers,db_servers,app_server_service_time,db_server_service_time,app_to_db_server_probability,priority_probability,app_server_queue_length,db_server_queue_length,system_throughput,app_server_throughput,db_server_throughput,system_average_response_time,app_server_average_response_time,db_server_average_response_time,number_in_system,number_in_app_server,number_in_db_app_server,priority_requests_dropped,regular_requests_dropped,total_requests_served,fraction_of_requests_dropped,app_server_utilization,db_server_utlization
1,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,0.19,0.23,0.04,0.362,0.555,2.604,0,0,0,0,0,19,0.0,0.0,0.0
21,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,3.96,5.04,1.06,0.425,0.418,1.509,3,1,2,0,0,396,0.0,0.1,0.2
41,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,7.7,9.88,2.16,0.421,0.464,1.511,3,1,2,0,0,770,0.0,0.1,0.2
61,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,11.56,14.79,3.19,0.49,0.562,1.539,6,2,4,0,0,1156,0.0,0.2,0.4
81,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,15.45,18.95,3.47,0.525,0.557,1.387,6,3,3,0,0,1545,0.0,0.3,0.3
101,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,19.16,24.06,4.83,0.588,0.618,1.359,11,4,7,0,0,1916,0.0,0.4,0.7
121,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,22.79,28.94,6.11,0.648,0.702,1.485,10,6,4,0,0,2279,0.0,0.6,0.4
141,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,26.62,33.36,6.68,0.669,0.73,1.447,8,2,6,0,0,2662,0.0,0.2,0.6
161,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,30.19,37.45,7.17,0.759,0.821,1.679,13,4,9,0,0,3019,0.0,0.4,0.9
181,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,33.82,42.01,8.01,0.764,0.809,1.722,24,6,18,0,0,3382,0.0,0.6,1.0
201,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,37.47,46.44,8.88,0.829,0.875,1.757,14,5,9,0,0,3747,0.0,0.5,0.9
221,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,39.57,49.29,9.47,1.104,1.131,2.77,30,5,25,0,0,3957,0.0,0.5,1.0
241,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,37.8,48.5,9.93,1.735,1.896,5.627,77,7,70,0,14,3780,0.004,0.7,1.3
261,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,39.69,50.05,9.47,1.823,2.022,6.897,89,8,81,0,15,3969,0.004,0.8,1.5
281,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,46.96,57.51,10.21,1.734,1.818,4.998,36,6,30,0,6,4696,0.001,0.6,1.2
301,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,44.63,55.8,9.93,2.037,2.283,7.548,97,3,94,0,41,4463,0.009,0.3,2.1
321,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,45.67,57.08,9.73,2.202,2.413,8.486,130,12,118,0,63,4567,0.014,1.0,1.7
341,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,49.34,61.26,10.31,2.141,2.354,8.219,99,7,92,0,86,4934,0.017,0.7,2.1
361,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,49.3,61.83,10.07,2.223,2.468,9.293,154,5,149,0,123,4930,0.024,0.5,1.5
381,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,52.1,64.84,10.31,2.325,2.61,9.537,150,5,145,0,111,5210,0.021,0.5,1.2
401,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,51.97,64.32,9.19,2.482,2.801,11.383,245,5,240,0,178,5197,0.033,0.5,8.6
421,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,52.84,66.22,9.52,2.455,2.842,11.356,277,8,269,0,232,5284,0.042,0.8,9.5
441,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,54.81,68.15,8.18,2.024,2.424,10.79,396,6,390,0,339,5481,0.058,0.6,19.6
461,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,53.77,67.76,6.7,1.692,1.933,9.625,527,8,519,0,573,5377,0.096,0.8,32.7
481,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,56.94,71.55,7.31,1.772,2.062,9.767,527,5,522,0,551,5694,0.088,0.5,31.1
501,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,58.63,73.84,6.95,1.626,1.908,8.954,563,5,558,0,622,5863,0.096,0.5,30.6
521,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,59.79,75.41,6.58,1.57,1.723,8.653,610,8,602,0,720,5979,0.107,0.8,37.4
541,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,61.47,77.43,6.36,1.569,1.704,8.769,657,13,644,0,785,6147,0.113,1.0,42.9
561,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,64.82,80.65,6.09,1.523,1.67,8.012,596,7,589,0,783,6482,0.108,0.7,36.0
