num_clients,app_servers,db_servers,app_server_service_time,db_server_service_time,app_to_db_server_probability,priority_probability,app_server_queue_length,db_server_queue_length,system_throughput,app_server_throughput,db_server_throughput,system_average_response_time,app_server_average_response_time,db_server_average_response_time,number_in_system,number_in_app_server,number_in_db_app_server,priority_requests_dropped,regular_requests_dropped,total_requests_served,fraction_of_requests_dropped,app_server_utilization,db_server_utlization
1,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,0.19,0.25,0.06,0.308,0.279,0.567,1,1,0,0,0,19,0.0,0.1,0.0
21,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,4.03,4.9,0.86,0.327,0.314,1.337,2,1,1,0,0,403,0.0,0.1,0.1
41,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,7.82,9.74,1.91,0.395,0.445,1.434,1,0,1,0,0,782,0.0,0.0,0.1
61,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,11.63,14.37,2.73,0.471,0.513,1.353,1,0,1,0,0,1163,0.0,0.0,0.1
81,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,15.53,19.38,3.81,0.513,0.565,1.324,4,0,4,0,0,1553,0.0,0.0,0.4
101,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,19.08,23.87,4.7,0.579,0.652,1.49,11,2,9,0,0,1908,0.0,0.2,0.9
121,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,23.06,28.72,5.61,0.604,0.651,1.362,6,1,5,0,0,2306,0.0,0.1,0.5
141,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,26.77,33.28,6.44,0.627,0.688,1.419,10,3,7,0,0,2677,0.0,0.3,0.7
161,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,30.19,37.52,7.25,0.721,0.773,1.651,10,2,8,0,0,3019,0.0,0.2,0.8
181,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,33.22,41.88,8.53,0.896,0.995,2.113,15,2,13,0,0,3322,0.0,0.2,1.0
201,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,37.25,46.48,9.13,0.872,0.915,1.864,15,5,10,0,0,3725,0.0,0.5,1.0
221,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,37.68,47.62,9.72,1.466,1.572,3.967,27,5,22,0,0,3768,0.0,0.5,1.0
241,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,43.29,53.74,10.21,1.076,1.14,2.66,33,9,24,0,0,4329,0.0,0.9,1.0
261,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,44.07,54.88,10.24,1.456,1.589,4.185,58,1,57,0,0,4407,0.0,0.1,1.0
281,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,42.93,53.49,9.85,2.025,2.311,7.219,74,3,71,0,0,4293,0.0,0.3,1.0
301,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,42.56,53.27,9.72,2.134,2.587,10.03,99,3,96,0,3,4256,0.001,0.3,1.0
321,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,46.79,58.29,10.47,2.219,2.524,8.821,111,9,102,0,1,4679,0.0,0.9,1.0
341,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,45.15,56.25,9.82,2.299,2.821,11.71,128,8,120,0,15,4515,0.003,0.8,1.4
361,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,47.93,59.82,10.33,2.39,2.852,11.39,149,7,142,0,18,4793,0.004,0.7,1.2
381,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,49.87,61.68,10.12,2.504,3.035,12.597,161,5,156,0,14,4987,0.003,0.5,1.0
401,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,47.05,59.11,9.66,2.342,2.851,14.049,176,4,172,0,76,4705,0.016,0.4,1.7
421,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,51.15,63.56,9.98,2.556,3.119,13.527,203,5,198,0,52,5115,0.01,0.5,1.6
441,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,49.01,61.69,9.61,2.463,3.025,15.233,243,1,242,0,85,4901,0.017,0.1,1.2
461,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,49.14,62.43,9.94,2.495,3.082,16.284,258,4,254,0,94,4914,0.019,0.4,1.1
481,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,53.69,67.35,10.27,2.694,3.331,15.549,263,6,257,0,109,5369,0.02,0.6,1.3
501,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,53.06,66.2,9.5,2.691,3.309,18.032,304,7,297,0,97,5306,0.018,0.7,1.0
521,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,54.29,67.52,9.02,2.745,3.383,18.779,361,2,359,0,108,5429,0.02,0.2,1.1
541,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,58.24,71.98,9.82,2.931,3.59,18.031,337,4,333,0,108,5824,0.018,0.4,1.0
561,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,58.51,72.52,9.81,2.926,3.585,18.285,375,5,370,0,107,5851,0.018,0.5,1.5
581,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,58.83,73.27,9.92,2.968,3.65,18.691,399,2,397,0,117,5883,0.019,0.2,1.6
601,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,60.12,74.98,9.73,3.008,3.724,19.083,446,4,442,0,159,6012,0.026,0.4,2.7
621,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,57.16,71.82,7.81,2.465,2.89,17.505,559,6,553,0,349,5716,0.058,0.6,18.1
641,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,61.53,76.43,8.63,2.77,3.345,18.053,534,1,533,0,259,6153,0.04,0.1,13.4
661,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,63.61,79.3,9.2,2.762,3.375,16.325,548,5,543,0,262,6361,0.04,0.5,11.1
681,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,62.67,78.37,7.63,2.419,2.936,15.056,591,6,585,0,396,6267,0.059,0.6,16.1
701,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,64.94,81.28,8.79,2.694,3.262,16.269,590,8,582,0,358,6494,0.052,0.8,14.4
721,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,65.48,81.9,7.97,2.509,2.964,14.829,627,4,623,0,413,6548,0.059,0.4,17.0
741,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,65.61,82.44,7.77,2.535,2.937,15.28,702,8,694,0,466,6561,0.066,0.8,22.3
