num_clients,app_servers,db_servers,app_server_service_time,db_server_service_time,app_to_db_server_probability,priority_probability,app_server_queue_length,db_server_queue_length,system_throughput,app_server_throughput,db_server_throughput,system_average_response_time,app_server_average_response_time,db_server_average_response_time,number_in_system,number_in_app_server,number_in_db_app_server,priority_requests_dropped,regular_requests_dropped,total_requests_served,fraction_of_requests_dropped,app_server_utilization,db_server_utlization
1,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,0.19,0.21,0.02,0.31,0.288,2.125,1,1,0,0,0,19,0.0,0.1,0.0
21,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,3.98,5.13,1.14,0.395,0.371,1.255,2,1,1,0,0,398,0.0,0.1,0.1
41,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,7.77,9.6,1.81,0.384,0.429,1.511,4,2,2,0,0,777,0.0,0.2,0.2
61,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,11.53,14.51,2.92,0.47,0.52,1.3,12,6,6,0,0,1153,0.0,0.6,0.6
81,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,15.32,19.21,3.87,0.538,0.576,1.406,6,4,2,0,0,1532,0.0,0.4,0.2
101,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,19.26,23.94,4.64,0.567,0.612,1.393,5,1,4,0,0,1926,0.0,0.1,0.4
121,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,22.99,28.52,5.5,0.618,0.642,1.446,5,2,3,0,0,2299,0.0,0.2,0.3
141,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,26.31,33.68,7.3,0.714,0.774,1.56,11,4,7,0,0,2631,0.0,0.4,0.7
161,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,30.31,37.72,7.35,0.73,0.764,1.517,13,7,6,0,0,3031,0.0,0.7,0.6
181,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,33.93,42.33,8.33,0.775,0.791,1.636,11,4,7,0,0,3393,0.0,0.4,0.7
201,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,37.41,46.79,9.35,0.837,0.887,1.752,10,7,3,0,0,3741,0.0,0.7,0.3
221,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,37.12,47.0,9.6,1.564,1.614,4.325,32,4,28,0,0,3712,0.0,0.4,1.0
241,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,40.45,50.75,9.64,1.428,1.61,4.351,70,4,66,0,0,4045,0.0,0.4,1.0
261,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,44.46,55.03,10.29,1.576,1.734,4.394,37,9,28,0,0,4446,0.0,0.9,1.0
281,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,43.04,53.98,10.16,1.965,2.218,7.11,80,2,78,0,0,4304,0.0,0.2,1.0
301,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,40.87,51.21,9.24,2.079,2.564,11.025,115,5,110,0,0,4087,0.0,0.5,1.0
321,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,43.39,54.83,10.32,2.201,2.669,10.779,118,6,112,0,0,4339,0.0,0.6,1.0
341,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,45.6,56.89,10.15,2.285,2.802,11.8,126,12,114,0,0,4560,0.0,1.0,1.0
361,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,45.57,57.1,9.98,2.291,2.85,13.434,161,6,155,0,0,4557,0.0,0.6,1.0
381,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,46.43,57.89,9.91,2.42,2.93,14.754,158,3,155,0,0,4643,0.0,0.3,1.0
401,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,47.94,59.91,9.95,2.517,3.054,14.858,206,4,202,0,0,4794,0.0,0.4,1.0
421,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,47.72,59.49,9.65,2.513,3.02,17.339,214,3,211,0,2,4772,0.0,0.3,1.0
441,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,46.73,59.01,9.75,2.863,3.05,18.991,255,4,251,0,2,4673,0.0,0.4,1.0
461,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,50.27,62.85,10.04,2.687,3.216,18.015,260,6,254,0,1,5027,0.0,0.6,1.0
481,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,51.08,63.76,10.0,2.715,3.255,19.129,271,3,268,0,1,5108,0.0,0.3,1.0
501,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,53.49,66.34,10.09,2.805,3.367,20.017,282,6,276,0,1,5349,0.0,0.6,1.0
521,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,53.93,67.26,10.19,2.754,3.4,20.039,318,7,311,0,8,5393,0.001,0.7,1.0
541,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,53.46,66.72,9.99,2.922,3.484,21.626,334,8,326,0,5,5346,0.001,0.8,1.0
561,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,54.12,67.85,10.19,3.0,3.523,21.153,357,4,353,0,9,5412,0.002,0.4,1.0
581,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,54.25,67.81,9.9,3.066,3.545,22.097,368,4,364,0,6,5425,0.001,0.4,1.0
601,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,55.6,69.77,10.18,3.007,3.578,21.435,411,12,399,0,4,5560,0.001,1.0,1.0
621,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,57.51,71.5,9.93,3.058,3.622,22.769,410,5,405,0,10,5751,0.002,0.5,1.0
641,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,54.02,68.31,9.76,3.517,3.586,24.277,454,6,448,0,20,5402,0.004,0.6,1.0
661,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,58.27,72.89,9.91,3.09,3.72,22.09,477,6,471,0,9,5827,0.002,0.6,1.0
681,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,59.84,74.76,10.29,3.22,3.817,22.995,467,8,459,0,15,5984,0.003,0.8,1.0
701,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,62.57,77.42,10.33,3.303,3.948,23.549,454,4,450,0,9,6257,0.001,0.4,1.0
721,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,61.74,76.87,9.83,3.211,3.915,22.879,532,7,525,0,23,6174,0.004,0.7,1.0
741,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,62.93,78.59,10.43,3.339,3.99,23.42,522,7,515,0,15,6293,0.002,0.7,1.0
761,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,60.85,75.77,9.4,3.526,3.865,25.299,552,6,546,0,43,6085,0.007,0.6,1.0
781,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,66.81,82.65,10.46,3.441,4.154,23.501,541,6,535,0,10,6681,0.001,0.6,1.0
801,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,60.22,76.4,9.95,4.26,3.963,24.469,622,6,616,0,47,6022,0.008,0.6,1.0
821,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,63.37,79.43,9.99,3.861,4.112,25.98,605,13,592,0,41,6337,0.006,1.0,1.0
841,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,65.16,81.57,10.07,3.86,4.109,23.082,639,10,629,0,31,6516,0.005,1.0,1.0
861,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,65.56,81.84,9.69,3.852,4.114,23.773,658,5,653,0,28,6556,0.004,0.5,1.0
881,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,66.31,83.28,10.25,3.73,4.207,24.375,668,8,660,0,35,6631,0.005,0.8,1.0
901,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,67.44,84.09,9.88,3.735,4.265,25.065,667,5,662,0,46,6744,0.007,0.5,1.0
921,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,69.02,85.71,9.59,3.772,4.326,22.738,714,6,708,0,31,6902,0.004,0.6,1.0
941,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,66.98,83.97,9.43,3.978,4.3,25.34,748,7,741,0,51,6698,0.008,0.7,1.0
961,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,67.07,84.48,9.71,4.508,4.244,25.99,765,9,756,0,54,6707,0.008,0.9,1.0
981,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,69.2,86.77,9.81,4.115,4.416,25.491,769,3,766,0,50,6920,0.007,0.3,1.0
1001,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,73.3,91.18,10.28,4.17,4.567,23.276,747,4,743,0,50,7330,0.007,0.4,1.0
1021,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,73.66,91.72,10.32,4.434,4.596,21.991,770,3,767,0,40,7366,0.005,0.3,1.0
1041,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,72.7,90.99,10.24,4.784,4.599,24.599,804,5,799,0,40,7270,0.005,0.5,1.0
1061,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,72.29,90.62,9.95,4.62,4.543,24.571,831,4,827,0,53,7229,0.007,0.4,1.0
1081,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,72.65,90.85,9.7,4.835,4.591,26.848,842,6,836,0,61,7265,0.008,0.6,1.0
1101,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,75.09,93.95,10.27,4.953,4.748,24.75,847,5,842,0,53,7509,0.007,0.5,1.0
1121,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,76.17,94.31,9.55,5.137,4.75,23.289,854,6,848,0,38,7617,0.005,0.6,1.0
1141,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,75.66,94.81,10.11,5.37,4.869,25.196,903,7,896,0,52,7566,0.007,0.7,1.0
1161,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,73.65,92.47,9.62,5.448,4.761,24.908,913,9,904,0,55,7365,0.007,0.9,1.0
1181,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.13,98.38,10.0,4.983,4.93,24.959,922,10,912,0,69,7913,0.009,1.0,1.0
1201,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,76.14,95.48,9.77,5.739,5.095,24.14,952,5,947,0,50,7614,0.007,0.5,1.0
1221,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,77.62,96.85,10.02,6.146,5.507,25.843,915,4,911,0,55,7762,0.007,0.4,1.0
1241,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,78.52,98.23,9.9,5.452,5.379,23.218,975,9,966,0,157,7852,0.02,0.9,1.0
1261,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,78.39,97.32,9.41,5.913,5.408,24.077,955,8,947,0,48,7839,0.006,0.8,1.0
1281,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.52,100.18,9.9,5.956,6.087,23.334,1007,49,958,0,235,8052,0.028,1.0,1.0
1301,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.68,99.88,10.3,6.96,7.453,23.681,1160,188,972,0,565,7968,0.066,1.0,1.0
1321,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,81.65,101.66,9.65,6.534,6.423,23.309,1166,156,1010,0,554,8165,0.064,1.0,1.0
1341,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,78.77,98.27,9.7,7.204,7.217,24.795,1302,328,974,0,645,7877,0.076,1.0,1.0
1361,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,78.9,99.61,10.53,7.673,7.617,26.11,1403,396,1007,0,830,7890,0.095,1.0,1.0
1381,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.79,99.64,9.78,7.816,7.721,24.769,1390,388,1002,0,796,7979,0.091,1.0,1.0
1401,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,78.96,99.36,9.94,7.562,7.132,25.626,1524,513,1011,0,1024,7896,0.115,1.0,1.0
1421,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.53,100.92,9.79,7.579,7.329,25.39,1707,699,1008,0,1421,8053,0.15,1.0,1.0
1441,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.05,100.03,10.04,8.061,7.722,24.962,1990,1011,979,0,3932,8005,0.329,1.0,1.0
1461,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.48,100.05,8.76,7.357,6.823,22.031,2024,990,1034,0,1991,7948,0.2,1.0,1.0
1481,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.05,100.7,10.23,8.438,8.17,26.652,2019,1007,1012,0,2681,8005,0.251,1.0,1.0
1501,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.45,100.73,9.99,8.398,8.408,26.972,2020,1010,1010,0,9458,8045,0.54,1.0,1.0
